name,height,reach,stance,dob,url
Talita Bernardo,"5' 4""","68""",Orthodox,"Mar 04, 1987",http://ufcstats.com/fighter-details/5b2325cd70dbe2ea
Donald Cerrone,"6' 1""","73""",Orthodox,"Mar 29, 1983",http://ufcstats.com/fighter-details/1d00756835ca67c9
Al Iaquinta,"5' 10""","70""",Orthodox,"Apr 30, 1987",http://ufcstats.com/fighter-details/59279a7c978f7da0
Derek Brunson,"6' 1""","77""",Southpaw,"Jan 04, 1984",http://ufcstats.com/fighter-details/b1a3e0aca758b322
Elias Theodorou,"6' 1""","75""",Orthodox,"May 31, 1988",http://ufcstats.com/fighter-details/34f88592c0ab7a54
Shane Burgos,"5' 11""","75""",Orthodox,"Mar 19, 1991",http://ufcstats.com/fighter-details/98d961097baaf308
Cub Swanson,"5' 8""","70""",Orthodox,"Nov 02, 1983",http://ufcstats.com/fighter-details/d247691a6c0e9034
Merab Dvalishvili,"5' 6""","68""",Orthodox,"Jan 10, 1991",http://ufcstats.com/fighter-details/c03520b5c88ed6b4
Brad Katona,"5' 6""","64""",Orthodox,"Dec 19, 1991",http://ufcstats.com/fighter-details/7b433309b0fd12aa
Walt Harris,"6' 5""","77""",Southpaw,"Jun 10, 1983",http://ufcstats.com/fighter-details/03f982ca3735070c
Serghei Spivac,"6' 3""","78""",Orthodox,"Jan 24, 1995",http://ufcstats.com/fighter-details/e2f6b2769aaedd6c
Andrew Sanchez,"6' 1""","74""",Orthodox,"Apr 08, 1988",http://ufcstats.com/fighter-details/fccf811c1e8b01c7
Marc-Andre Barriault,"6' 1""","74""",Orthodox,"Feb 18, 1990",http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d
Macy Chiasson,"5' 11""","72""",,"Jul 27, 1991",http://ufcstats.com/fighter-details/9cdd2da1a9104a0b
Sarah Moras,"5' 7""","67""",,"Apr 30, 1988",http://ufcstats.com/fighter-details/539ed332b3078821
Vince Morales,"5' 7""","70""",Orthodox,"Nov 12, 1990",http://ufcstats.com/fighter-details/37098a6e6c27fb66
Aiemann Zahabi,"5' 8""","68""",Orthodox,"Nov 19, 1987",http://ufcstats.com/fighter-details/24656ef4d605c96f
Nordine Taleb,"6' 1""","74""",Orthodox,"Jun 10, 1981",http://ufcstats.com/fighter-details/49858bf46dabf6fb
Kyle Prepolec,"5' 10""","70""",Southpaw,"Aug 30, 1989",http://ufcstats.com/fighter-details/873626e5547b5235
Matt Sayles,"5' 7""","68""",Orthodox,"Feb 21, 1994",http://ufcstats.com/fighter-details/5b8ba8f5512893b1
Kyle Nelson,"5' 11""","71""",Switch,"Apr 20, 1991",http://ufcstats.com/fighter-details/31f8081c7600da93
Arjan Bhullar,"6' 1""","75""",Orthodox,"May 13, 1986",http://ufcstats.com/fighter-details/7e511f8d842a109d
Juan Adams,"6' 5""","80""",Orthodox,"Jan 16, 1992",http://ufcstats.com/fighter-details/83b00f7597e5ac83
Cole Smith,"5' 11""","67""",Orthodox,"Apr 05, 1989",http://ufcstats.com/fighter-details/56709e66f1c6008f
Mitch Gagnon,"5' 5""","65""",Southpaw,"Oct 10, 1984",http://ufcstats.com/fighter-details/b8592b4a383696cd
Jack Hermansson,"6' 1""","77""",Orthodox,"Jun 10, 1988",http://ufcstats.com/fighter-details/0a1942069c9ad6b6
Jacare Souza,"6' 1""","72""",Orthodox,"Dec 07, 1979",http://ufcstats.com/fighter-details/7a703c565ccaa18f
Greg Hardy,"6' 5""","80""",Orthodox,"Jul 28, 1988",http://ufcstats.com/fighter-details/85073dbd1be65ed9
Dmitrii Smoliakov,"6' 2""","74""",Switch,"Aug 05, 1982",http://ufcstats.com/fighter-details/75afb06215a07341
Mike Perry,"5' 10""","71""",Orthodox,"Sep 15, 1991",http://ufcstats.com/fighter-details/f2b6fdb20675b11c
Alex Oliveira,"5' 11""","76""",Orthodox,"Feb 21, 1988",http://ufcstats.com/fighter-details/57b10fca4f9c9a7a
Glover Teixeira,"6' 2""","76""",Orthodox,"Oct 28, 1979",http://ufcstats.com/fighter-details/7ff97850e8c32bda
Ion Cutelaba,"6' 1""","75""",Southpaw,"Dec 14, 1993",http://ufcstats.com/fighter-details/cd13728ae1151f46
Cory Sandhagen,"5' 11""","70""",Switch,"Apr 20, 1992",http://ufcstats.com/fighter-details/65f09bacd3957381
John Lineker,"5' 3""","67""",Orthodox,"Jun 12, 1990",http://ufcstats.com/fighter-details/c268b2cfebccf652
Roosevelt Roberts,"6' 2""","73""",Orthodox,"Feb 11, 1994",http://ufcstats.com/fighter-details/37c5366d18ed6c05
Thomas Gifford,"6' 1""","75""",Orthodox,"Jul 26, 1992",http://ufcstats.com/fighter-details/e7f51d9f9e9259e7
Takashi Sato,"5' 10""","73""",Southpaw,"Jun 09, 1990",http://ufcstats.com/fighter-details/8abac218746e04ca
Ben Saunders,"6' 2""","77""",Orthodox,"Apr 13, 1983",http://ufcstats.com/fighter-details/484acc7b0f856ce9
Augusto Sakai,"6' 3""","77""",Orthodox,"May 09, 1991",http://ufcstats.com/fighter-details/441eacbe20e0e80b
Andrei Arlovski,"6' 3""","77""",Orthodox,"Feb 04, 1979",http://ufcstats.com/fighter-details/3738e68d2261e60f
Carla Esparza,"5' 1""","63""",,"Oct 10, 1987",http://ufcstats.com/fighter-details/d910665038efc639
Virna Jandiroba,"5' 3""","64""",Orthodox,"May 30, 1988",http://ufcstats.com/fighter-details/7dda2cf308f24a02
Gilbert Burns,"5' 10""","71""",Orthodox,"Jul 20, 1986",http://ufcstats.com/fighter-details/23024fdfc966410a
Mike Davis,"6' 0""","72""",Orthodox,"Oct 07, 1992",http://ufcstats.com/fighter-details/fb3e61720be4690c
Jim Miller,"5' 8""","71""",Southpaw,"Aug 30, 1983",http://ufcstats.com/fighter-details/d1941565abf50b16
Jason Gonzalez,"6' 2""","74""",Southpaw,"Feb 28, 1990",http://ufcstats.com/fighter-details/e45cfa47f504033a
Angela Hill,"5' 3""","64""",Orthodox,"Jan 12, 1985",http://ufcstats.com/fighter-details/f0feeb2192937424
Jodie Esquibel,"5' 1""","64""",Orthodox,"May 07, 1986",http://ufcstats.com/fighter-details/411539901068522f
Dhiego Lima,"6' 2""","74""",Orthodox,"Jan 31, 1989",http://ufcstats.com/fighter-details/e9213f53ddeca978
Court McGee,"5' 11""","75""",Orthodox,"Dec 12, 1984",http://ufcstats.com/fighter-details/523fa774700d7d3f
Alistair Overeem,"6' 4""","80""",Orthodox,"May 17, 1980",http://ufcstats.com/fighter-details/b4ad3a06ee4d660c
Aleksei Oleinik,"6' 2""","80""",Orthodox,"Jun 20, 1977",http://ufcstats.com/fighter-details/98c23cb6da5b3352
Islam Makhachev,"5' 10""","70""",Orthodox,"Oct 27, 1991",http://ufcstats.com/fighter-details/275aca31f61ba28c
Arman Tsarukyan,"5' 7""","72""",Orthodox,"Oct 11, 1996",http://ufcstats.com/fighter-details/eae48ff31db420c2
Sergei Pavlovich,"6' 3""","84""",Southpaw,"May 13, 1992",http://ufcstats.com/fighter-details/f14cf73e51b29254
Marcelo Golm,"6' 3""","75""",Orthodox,"Sep 15, 1992",http://ufcstats.com/fighter-details/ac29d508d78384c9
Roxanne Modafferi,"5' 7""","69""",,"Sep 24, 1982",http://ufcstats.com/fighter-details/4498b382c65a7faa
Antonina Shevchenko,"5' 8""","67""",Southpaw,"Nov 20, 1984",http://ufcstats.com/fighter-details/d7338bcb141abd2c
Krzysztof Jotko,"6' 1""","77""",Southpaw,"Aug 19, 1989",http://ufcstats.com/fighter-details/4e06913c91da5200
Alen Amedovski,"5' 10""","74""",Orthodox,"Apr 06, 1988",http://ufcstats.com/fighter-details/70fa1c64a2c439ef
Movsar Evloev,"5' 7""","72""",Orthodox,"Feb 11, 1994",http://ufcstats.com/fighter-details/76e2870ffafbe38f
Seungwoo Choi,"6' 0""","74""",Orthodox,"Nov 03, 1992",http://ufcstats.com/fighter-details/a68575214ecad140
Sultan Aliev,"5' 11""","74""",Orthodox,"Sep 17, 1984",http://ufcstats.com/fighter-details/e70de1859b7ee78e
Keita Nakamura,"5' 11""","73""",Southpaw,"May 22, 1984",http://ufcstats.com/fighter-details/65ddc8a9ac4e8531
Alexander Yakovlev,"6' 3""","74""",Southpaw,"Jul 18, 1984",http://ufcstats.com/fighter-details/d06f8869449ba7bd
Alex Da Silva,"5' 8""","73""",Orthodox,"Feb 04, 1996",http://ufcstats.com/fighter-details/c3ded6f7155f9ea4
Shamil Abdurakhimov,"6' 3""","76""",Orthodox,"Sep 02, 1981",http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Marcin Tybura,"6' 3""","78""",Orthodox,"Nov 09, 1985",http://ufcstats.com/fighter-details/c9cf753cfdf77fc2
Michal Oleksiejczuk,"6' 0""","74""",Southpaw,"Feb 22, 1995",http://ufcstats.com/fighter-details/0d65c432720accb9
Gadzhimurad Antigulov,"5' 11""","70""",Orthodox,"Feb 09, 1987",http://ufcstats.com/fighter-details/af997f7611673880
Magomed Mustafaev,"5' 8""","71""",Orthodox,"Aug 02, 1988",http://ufcstats.com/fighter-details/31d7446b184e3305
Rafael Fiziev,"5' 8""","71""",Switch,"Mar 05, 1993",http://ufcstats.com/fighter-details/c814b4c899793af6
Dustin Poirier,"5' 9""","72""",Southpaw,"Jan 19, 1989",http://ufcstats.com/fighter-details/029eaff01e6bb8f0
Max Holloway,"5' 11""","69""",Orthodox,"Dec 04, 1991",http://ufcstats.com/fighter-details/150ff4cc642270b9
Israel Adesanya,"6' 4""","80""",Switch,"Jul 22, 1989",http://ufcstats.com/fighter-details/1338e2c7480bdf9e
Kelvin Gastelum,"5' 9""","71""",Southpaw,"Oct 24, 1991",http://ufcstats.com/fighter-details/8c0580d4fff106c1
Khalil Rountree Jr.,"6' 1""","76""",Southpaw,"Feb 26, 1990",http://ufcstats.com/fighter-details/749f572d1d3161fb
Eryk Anders,"6' 1""","75""",Southpaw,"Apr 21, 1987",http://ufcstats.com/fighter-details/cad24459b28592ca
Dwight Grant,"6' 1""","76""",Switch,"Sep 14, 1984",http://ufcstats.com/fighter-details/8be158ca1e5ea6a0
Alan Jouban,"6' 0""","73""",Southpaw,"Nov 25, 1981",http://ufcstats.com/fighter-details/cf65d56b0755ed3b
Nikita Krylov,"6' 3""","77""",Orthodox,"Mar 07, 1992",http://ufcstats.com/fighter-details/1091d4d957141094
Ovince Saint Preux,"6' 3""","80""",Southpaw,"Apr 08, 1983",http://ufcstats.com/fighter-details/50db8711c70196cd
Matt Frevola,"5' 9""","71""",Orthodox,"Jun 11, 1990",http://ufcstats.com/fighter-details/dccb63727f2f5f74
Jalin Turner,"6' 3""","77""",Southpaw,"May 18, 1995",http://ufcstats.com/fighter-details/4d8fa64202cee4c1
Alexandre Pantoja,"5' 5""","67""",Orthodox,"Apr 16, 1990",http://ufcstats.com/fighter-details/a0f0004aadf10b71
Wilson Reis,"5' 4""","65""",Southpaw,"Jan 06, 1985",http://ufcstats.com/fighter-details/5aedf14771ca82d2
Max Griffin,"5' 11""","76""",Orthodox,"Nov 29, 1985",http://ufcstats.com/fighter-details/b0d6a1d8ac3d563d
Zelim Imadaev,"6' 0""","76""",Orthodox,"Jan 25, 1995",http://ufcstats.com/fighter-details/7f0f171414d0a287
Khalid Taha,"5' 5""","69""",Orthodox,"Feb 15, 1992",http://ufcstats.com/fighter-details/b4537562f88ac582
Boston Salmon,"5' 9""","69""",Southpaw,"Nov 20, 1990",http://ufcstats.com/fighter-details/98e946879ba20c0f
Belal Muhammad,"5' 11""","72""",Orthodox,"Jul 09, 1988",http://ufcstats.com/fighter-details/b1b0729d27936f2f
Curtis Millender,"6' 2""","76""",Orthodox,"Dec 01, 1987",http://ufcstats.com/fighter-details/f1928a52590c5532
Montel Jackson,"5' 10""","75""",Southpaw,"Apr 24, 1992",http://ufcstats.com/fighter-details/cc1a8b4b38b92c6d
Andre Soukhamthath,"5' 9""","70""",Orthodox,"Oct 23, 1988",http://ufcstats.com/fighter-details/d0e50a3d1b250708
Poliana Botelho,"5' 8""","67""",Orthodox,"Dec 15, 1988",http://ufcstats.com/fighter-details/5c126c6aac3ef364
Lauren Mueller,"5' 5""","67""",Orthodox,"Nov 15, 1991",http://ufcstats.com/fighter-details/f923e012414c883e
Brandon Davis,"5' 10""","72""",Orthodox,"May 08, 1990",http://ufcstats.com/fighter-details/cc351e408bbb7d43
Randy Costa,"5' 9""","73""",Switch,"Jul 06, 1994",http://ufcstats.com/fighter-details/325ad0dd9126d3df
Justin Gaethje,"5' 11""","70""",Orthodox,"Nov 14, 1988",http://ufcstats.com/fighter-details/9e8f6c728eb01124
Edson Barboza,"5' 11""","75""",Orthodox,"Jan 21, 1986",http://ufcstats.com/fighter-details/64a50dad704d1d49
David Branch,"6' 1""","78""",Orthodox,"Sep 26, 1981",http://ufcstats.com/fighter-details/d2c55d1d2e67773b
Josh Emmett,"5' 6""","70""",Orthodox,"Mar 04, 1985",http://ufcstats.com/fighter-details/fba03cd6cc28dc41
Michael Johnson,"5' 10""","73""",Southpaw,"Jun 04, 1986",http://ufcstats.com/fighter-details/511e82663651438d
Michelle Waterson,"5' 3""","62""",Orthodox,"Jan 06, 1986",http://ufcstats.com/fighter-details/eb04b9d31e938edb
Karolina Kowalkiewicz,"5' 3""","64""",Orthodox,"Oct 15, 1985",http://ufcstats.com/fighter-details/d7c3816669784109
Paul Craig,"6' 3""","76""",Orthodox,"Nov 27, 1987",http://ufcstats.com/fighter-details/eabf206b162b3b83
Kennedy Nzechukwu,"6' 5""","83""",Southpaw,"Jun 13, 1992",http://ufcstats.com/fighter-details/8667caa0451d245b
Sodiq Yusuff,"5' 9""","71""",Orthodox,"May 19, 1993",http://ufcstats.com/fighter-details/94426bb170c88115
Sheymon Moraes,"5' 8""","72""",Orthodox,"Oct 11, 1990",http://ufcstats.com/fighter-details/0d62719b1dcf7c40
Marina Rodriguez,"5' 6""","65""",Orthodox,"Apr 29, 1987",http://ufcstats.com/fighter-details/cd2c4d30c6e13b47
Jessica Aguilar,"5' 3""","63""",Orthodox,"May 08, 1982",http://ufcstats.com/fighter-details/8f382b3baa954d2a
Ross Pearson,"5' 8""","69""",Orthodox,"Sep 26, 1984",http://ufcstats.com/fighter-details/4f732e58ed907eff
Kevin Aguilar,"5' 7""","73""",Orthodox,"Sep 07, 1988",http://ufcstats.com/fighter-details/cf946e03ba2e7666
Enrique Barzola,"5' 7""","70""",,"Apr 28, 1989",http://ufcstats.com/fighter-details/be0b310a12eb80b4
Kevin Holland,"6' 3""","81""",Orthodox,"Nov 05, 1992",http://ufcstats.com/fighter-details/3a46b268013afede
Gerald Meerschaert,"6' 1""","77""",Southpaw,"Dec 18, 1987",http://ufcstats.com/fighter-details/6ac9bc2953c47345
Casey Kenney,"5' 7""","68""",Southpaw,"Mar 20, 1991",http://ufcstats.com/fighter-details/e7bba7ce4d6c7b07
Ray Borg,"5' 4""","63""",Orthodox,"Aug 04, 1993",http://ufcstats.com/fighter-details/a4de54ea806fb525
Maryna Moroz,"5' 7""","67""",Orthodox,"Sep 08, 1991",http://ufcstats.com/fighter-details/b4192a975027aab6
Sabina Mazo,"5' 7""","70""",Orthodox,"Mar 25, 1997",http://ufcstats.com/fighter-details/70d2329a92864fdb
Alex Perez,"5' 6""","65""",Orthodox,"Mar 21, 1992",http://ufcstats.com/fighter-details/ab2b4ff41d6ebe0f
Mark De La Rosa,"5' 6""","65""",Orthodox,"Aug 31, 1994",http://ufcstats.com/fighter-details/f57dd0bfa8c17813
Anthony Pettis,"5' 10""","72""",Orthodox,"Jan 27, 1987",http://ufcstats.com/fighter-details/cbb682f5fcc44bfc
Stephen Thompson,"6' 0""","75""",Orthodox,"Feb 11, 1983",http://ufcstats.com/fighter-details/4a28cb716c19157a
Curtis Blaydes,"6' 4""","80""",Orthodox,"Feb 18, 1991",http://ufcstats.com/fighter-details/fa6796c55d6c5440
Justin Willis,"6' 1""","78""",Southpaw,"Jul 19, 1987",http://ufcstats.com/fighter-details/ce1e867808ef5fce
John Makdessi,"5' 8""","68""",Orthodox,"May 03, 1985",http://ufcstats.com/fighter-details/c21a036b4e012f1c
Jesus Pinedo,"5' 10""",--,,"Jun 22, 1996",http://ufcstats.com/fighter-details/25af5e832f17b474
Jussier Formiga,"5' 5""","67""",Orthodox,"Apr 14, 1985",http://ufcstats.com/fighter-details/b102c26727306ab6
Deiveson Figueiredo,"5' 5""","68""",Orthodox,"Dec 18, 1987",http://ufcstats.com/fighter-details/aa72b0f831d0bfe5
Luis Pena,"6' 3""","76""",Southpaw,"Jul 05, 1993",http://ufcstats.com/fighter-details/2844b047183a1adb
Steven Peterson,"5' 10""","70""",Orthodox,"May 29, 1990",http://ufcstats.com/fighter-details/b93c06d09d1c4ac0
Maycee Barber,"5' 5""","65""",Switch,"May 18, 1998",http://ufcstats.com/fighter-details/6a740daf1b279661
JJ Aldrich,"5' 5""","67""",Southpaw,"Sep 29, 1992",http://ufcstats.com/fighter-details/6fd953151d981979
Bryce Mitchell,"5' 10""",--,Southpaw,"Oct 04, 1994",http://ufcstats.com/fighter-details/d9c6f19f958643e9
Bobby Moffett,"5' 10""","74""",Orthodox,"Jun 01, 1990",http://ufcstats.com/fighter-details/d76ad9a08c4408ff
Marlon Vera,"5' 8""","70""",Switch,"Dec 02, 1992",http://ufcstats.com/fighter-details/7c7332319c14094c
Frankie Saenz,"5' 6""","66""",Orthodox,"Aug 12, 1980",http://ufcstats.com/fighter-details/9ba2226646046b63
Jennifer Maia,"5' 4""","64""",Orthodox,"Oct 06, 1988",http://ufcstats.com/fighter-details/8e1f36476ef02a6a
Alexis Davis,"5' 6""","68""",Orthodox,"Oct 04, 1984",http://ufcstats.com/fighter-details/4c2d90e335e6df19
Randa Markos,"5' 4""","63""",Orthodox,"Aug 10, 1985",http://ufcstats.com/fighter-details/4a57ebb14315b251
Chris Gutierrez,"5' 9""","69""",Orthodox,"Apr 22, 1991",http://ufcstats.com/fighter-details/45f0cc9d18f35137
Ryan MacDonald,"5' 11""","71""",Switch,"Mar 18, 1993",http://ufcstats.com/fighter-details/35e1f9984ed64206
Jordan Espinosa,"5' 6""","71""",Orthodox,"Nov 08, 1989",http://ufcstats.com/fighter-details/215a70f073a7b726
Eric Shelton,"5' 6""","68""",Orthodox,"Feb 02, 1991",http://ufcstats.com/fighter-details/a0c64f272b65d441
Jorge Masvidal,"5' 11""","74""",Orthodox,"Nov 12, 1984",http://ufcstats.com/fighter-details/47b9e0e7703a4868
